"CQ","MG","PQ","Lec","CG","WG","OG","SQ","Study","Method","Course","Profile"
0.257,0,0.2,0.771,0.143,0,0,0.057,"Stains",NA,NA,1
0.257,0,0.057,0.829,0.086,0,0,0.114,"Stains",NA,NA,1
0.4,0,0.229,0.743,0.114,0,0,0.286,"Stains",NA,NA,1
0.182,0.03,0.394,0.909,0.03,0,0.061,0.242,"Stains",NA,NA,1
0.2,0.086,0.743,0.686,0.143,0,0,0,"Stains",NA,NA,1
0,0.057,0.771,0.686,0,0,0.229,0,"Stains",NA,NA,1
0.088,0,0.735,0.206,0.088,0,0.029,0.206,"Stains",NA,NA,1
0.286,0.2,0.743,0.714,0.2,0,0.057,0.057,"Stains",NA,NA,1
0.257,0,0.629,0.857,0.229,0,0.057,0,"Stains",NA,NA,1
0.171,0.257,0.4,0.4,0.171,0.286,0,0,"Stains",NA,NA,1
0.2,0,0.333,0.8,0.1,0,0,0.1,"Stains",NA,NA,1
0.257,0,0.543,0.486,0.143,0,0.114,0,"Stains",NA,NA,1
0.057,0,0.543,0.943,0.057,0,0.257,0.114,"Stains",NA,NA,1
0.2,0,0.429,0.857,0.114,0,0.143,0,"Stains",NA,NA,1
0.086,0,0.314,0.857,0.086,0,0.057,0,"Stains",NA,NA,1
0.263,0,0.105,0.842,0,0,0,0.026,"Stains",NA,NA,1
0.132,0,0.237,0.842,0.026,0,0,0.211,"Stains",NA,NA,1
0.057,0,0.686,1,0,0,0,0.2,"Stains",NA,NA,1
0.368,0,0.211,0.947,0.026,0,0,0.105,"Stains",NA,NA,1
0.556,0,0.083,0.944,0,0,0,0,"Stains",NA,NA,1
0,0,0,0,0,0,0,0,"Stains",NA,NA,1
0.152,0,0.061,0.849,0,0,0,0,"Stains",NA,NA,1
0,0.333,0,0.933,0,0,0,0,"Stains",NA,NA,1
0,0.56,0.28,0.76,0,0.04,0,0.44,"Stains",NA,NA,1
0,0.56,0.36,0.84,0,0.04,0,0.44,"Stains",NA,NA,1
0.105,0,0.526,0.947,0.026,0,0,0.053,"Stains",NA,NA,1
0.091,0,0.273,1,0,0,0,0.061,"Stains",NA,NA,1
0.152,0,0.212,0.97,0.091,0,0,0,"Stains",NA,NA,1
0.518518519,0.481481481,0.185185185,0.481481481,0.518518519,0,0,0,"Sundstrom","PeerInstruction",4,2
0.230769231,0.269230769,0.307692308,0.576923077,0.153846154,0,0.076923077,0.076923077,"Sundstrom","PeerInstruction",4,1
0.666666667,0.5,0.041666667,0.25,0.541666667,0,0,0.041666667,"Sundstrom","PeerInstruction",4,2
0.464285714,0.25,0.357142857,0.428571429,0.357142857,0,0,0.035714286,"Sundstrom","PeerInstruction",8,2
0.357142857,0.178571429,0.357142857,0.428571429,0.357142857,0,0,0.178571429,"Sundstrom","PeerInstruction",8,2
0.423076923,0.384615385,0.384615385,0.230769231,0.423076923,0,0,0.307692308,"Sundstrom","PeerInstruction",8,2
0,0.155555556,0.577777778,0.4,0,0,0.155555556,0.133333333,"Sundstrom","PeerInstruction",7,1
0.139534884,0.255813953,0.744186047,0.581395349,0.069767442,0,0.23255814,0.139534884,"Sundstrom","PeerInstruction",7,1
0,0.1,0.6,0.85,0,0,0.175,0.05,"Sundstrom","PeerInstruction",7,1
0.318181818,0.090909091,0.363636364,0.454545455,0.318181818,0,0,0.045454545,"Sundstrom","PeerInstruction",5,2
0.48,0.28,0.36,0.44,0.44,0,0.04,0.04,"Sundstrom","PeerInstruction",5,2
0.56,0.48,0.32,0.52,0.48,0,0.12,0.08,"Sundstrom","PeerInstruction",5,2
